Period,Period1,Type,Revision,Location,Integrated,Values
01-01-24,Jan-24,HeadCount,V32,Tengiz,All,307.00
01-01-24,Jan-24,HeadCount,V32,Tengiz,Integrated,235.00
01-01-24,Jan-24,HeadCount,V32,Tengiz,Non-Integrated,72.00
02-01-24,Feb-24,HeadCount,V32,Almaty,All,2.00
02-01-24,Feb-24,HeadCount,V32,Almaty,Integrated,0.00
02-01-24,Feb-24,HeadCount,V32,Almaty,Non-Integrated,2.00
02-01-24,Feb-24,HeadCount,V32,Atyrau,All,129.00
02-01-24,Feb-24,HeadCount,V32,Atyrau,Integrated,13.00
02-01-24,Feb-24,HeadCount,V32,Atyrau,Non-Integrated,116.00
02-01-24,Feb-24,HeadCount,V32,Farnborough,All,42.00
02-01-24,Feb-24,HeadCount,V32,Farnborough,Integrated,2.00
02-01-24,Feb-24,HeadCount,V32,Farnborough,Non-Integrated,40.00
02-01-24,Feb-24,HeadCount,V32,New Delhi,All,1.00
02-01-24,Feb-24,HeadCount,V32,New Delhi,Integrated,0.00
02-01-24,Feb-24,HeadCount,V32,New Delhi,Non-Integrated,1.00
02-01-24,Feb-24,HeadCount,V32,Offshore Other,All,1.00
02-01-24,Feb-24,HeadCount,V32,Offshore Other,Integrated,0.00
02-01-24,Feb-24,HeadCount,V32,Offshore Other,Non-Integrated,1.00
02-01-24,Feb-24,HeadCount,V32,Tengiz,All,302.00
02-01-24,Feb-24,HeadCount,V32,Tengiz,Integrated,232.00
02-01-24,Feb-24,HeadCount,V32,Tengiz,Non-Integrated,70.00
03-01-24,Mar-24,HeadCount,V32,Almaty,All,2.00
03-01-24,Mar-24,HeadCount,V32,Almaty,Integrated,0.00
03-01-24,Mar-24,HeadCount,V32,Almaty,Non-Integrated,2.00
03-01-24,Mar-24,HeadCount,V32,Atyrau,All,120.00
03-01-24,Mar-24,HeadCount,V32,Atyrau,Integrated,13.00
03-01-24,Mar-24,HeadCount,V32,Atyrau,Non-Integrated,107.00
03-01-24,Mar-24,HeadCount,V32,Farnborough,All,41.00
03-01-24,Mar-24,HeadCount,V32,Farnborough,Integrated,2.00
